Removed Pin From Net: NetName=48V Pin=P1-1
Removed Pin From Net: NetName=ADRSA3 Pin=P1-2
Removed Pin From Net: NetName=NetJ1_U_Connectors1_14 Pin=RJ1_U_Connectors1-1
Removed Pin From Net: NetName=NetJ1_U_Connectors1_15 Pin=RJ1_U_Connectors1-2
Removed Pin From Net: NetName=NetJ1_U_Connectors1_12 Pin=RJ1_U_Connectors1-3
Removed Pin From Net: NetName=NetJ1_U_Connectors1_13 Pin=RJ1_U_Connectors1-6
Removed Pin From Net: NetName=NetJ1_U_Connectors_14 Pin=RJ1_U_Connectors-1
Removed Pin From Net: NetName=NetJ1_U_Connectors_15 Pin=RJ1_U_Connectors-2
Removed Pin From Net: NetName=NetJ1_U_Connectors_12 Pin=RJ1_U_Connectors-3
Removed Pin From Net: NetName=NetJ1_U_Connectors_13 Pin=RJ1_U_Connectors-6
Removed Pin From Net: NetName=NetJ1_U_Connectors1_10 Pin=RJ2_U_Connectors1-1
Removed Pin From Net: NetName=NetJ1_U_Connectors1_11 Pin=RJ2_U_Connectors1-2
Removed Pin From Net: NetName=NetJ1_U_Connectors1_8 Pin=RJ2_U_Connectors1-3
Removed Pin From Net: NetName=NetJ1_U_Connectors1_9 Pin=RJ2_U_Connectors1-6
Removed Pin From Net: NetName=NetJ1_U_Connectors_10 Pin=RJ2_U_Connectors-1
Removed Pin From Net: NetName=NetJ1_U_Connectors_11 Pin=RJ2_U_Connectors-2
Removed Pin From Net: NetName=NetJ1_U_Connectors_8 Pin=RJ2_U_Connectors-3
Removed Pin From Net: NetName=NetJ1_U_Connectors_9 Pin=RJ2_U_Connectors-6
Added Pin To Net: NetName=ADRSA3 Pin=P1-1
Added Pin To Net: NetName=48V Pin=P1-2
Added Pin To Net: NetName=NetJ1_U_Connectors1_13 Pin=RJ1_U_Connectors1-1
Added Pin To Net: NetName=NetJ1_U_Connectors1_12 Pin=RJ1_U_Connectors1-2
Added Pin To Net: NetName=NetJ1_U_Connectors1_15 Pin=RJ1_U_Connectors1-3
Added Pin To Net: NetName=NetJ1_U_Connectors1_14 Pin=RJ1_U_Connectors1-6
Added Pin To Net: NetName=NetJ1_U_Connectors_13 Pin=RJ1_U_Connectors-1
Added Pin To Net: NetName=NetJ1_U_Connectors_12 Pin=RJ1_U_Connectors-2
Added Pin To Net: NetName=NetJ1_U_Connectors_15 Pin=RJ1_U_Connectors-3
Added Pin To Net: NetName=NetJ1_U_Connectors_14 Pin=RJ1_U_Connectors-6
Added Pin To Net: NetName=NetJ1_U_Connectors1_9 Pin=RJ2_U_Connectors1-1
Added Pin To Net: NetName=NetJ1_U_Connectors1_8 Pin=RJ2_U_Connectors1-2
Added Pin To Net: NetName=NetJ1_U_Connectors1_11 Pin=RJ2_U_Connectors1-3
Added Pin To Net: NetName=NetJ1_U_Connectors1_10 Pin=RJ2_U_Connectors1-6
Added Pin To Net: NetName=NetJ1_U_Connectors_9 Pin=RJ2_U_Connectors-1
Added Pin To Net: NetName=NetJ1_U_Connectors_8 Pin=RJ2_U_Connectors-2
Added Pin To Net: NetName=NetJ1_U_Connectors_11 Pin=RJ2_U_Connectors-3
Added Pin To Net: NetName=NetJ1_U_Connectors_10 Pin=RJ2_U_Connectors-6
