Change Component Designator: OldDesignator=DB1_Conn1_1 NewDesignator=DB1_Conn2
Change Component Designator: OldDesignator=DB1_Conn1_2 NewDesignator=DB1_Conn3
Change Component Designator: OldDesignator=DB1_Conn1_3 NewDesignator=DB1_Conn4
Change Component Designator: OldDesignator=DB1_Conn1_4 NewDesignator=DB1_Conn5
Change Component Designator: OldDesignator=DB1_Conn1_5 NewDesignator=DB1_Conn6
Change Component Designator: OldDesignator=DB1_Conn1_6 NewDesignator=DB1_Conn7
Change Component Designator: OldDesignator=DB1_Conn1_7 NewDesignator=DB1_Conn8
Change Component Designator: OldDesignator=DB2_Conn1_1 NewDesignator=DB2_Conn2
Change Component Designator: OldDesignator=DB2_Conn1_2 NewDesignator=DB2_Conn3
Change Component Designator: OldDesignator=DB2_Conn1_3 NewDesignator=DB2_Conn4
Change Component Designator: OldDesignator=DB2_Conn1_4 NewDesignator=DB2_Conn5
Change Component Designator: OldDesignator=DB2_Conn1_5 NewDesignator=DB2_Conn6
Change Component Designator: OldDesignator=DB2_Conn1_6 NewDesignator=DB2_Conn7
Change Component Designator: OldDesignator=DB2_Conn1_7 NewDesignator=DB2_Conn8
Change Component Designator: OldDesignator=J1_Conn1_1 NewDesignator=J1_Conn2
Change Component Designator: OldDesignator=J1_Conn1_2 NewDesignator=J1_Conn3
Change Component Designator: OldDesignator=J1_Conn1_3 NewDesignator=J1_Conn4
Change Component Designator: OldDesignator=J1_Conn1_4 NewDesignator=J1_Conn5
Change Component Designator: OldDesignator=J1_Conn1_5 NewDesignator=J1_Conn6
Change Component Designator: OldDesignator=J1_Conn1_6 NewDesignator=J1_Conn7
Change Component Designator: OldDesignator=J1_Conn1_7 NewDesignator=J1_Conn8
Change Component Designator: OldDesignator=RJ1_Conn1_1 NewDesignator=RJ1_Conn2
Change Component Designator: OldDesignator=RJ1_Conn1_2 NewDesignator=RJ1_Conn3
Change Component Designator: OldDesignator=RJ1_Conn1_3 NewDesignator=RJ1_Conn4
Change Component Designator: OldDesignator=RJ1_Conn1_4 NewDesignator=RJ1_Conn5
Change Component Designator: OldDesignator=RJ1_Conn1_5 NewDesignator=RJ1_Conn6
Change Component Designator: OldDesignator=RJ1_Conn1_6 NewDesignator=RJ1_Conn7
Change Component Designator: OldDesignator=RJ1_Conn1_7 NewDesignator=RJ1_Conn8
Change Component Designator: OldDesignator=RJ2_Conn1_1 NewDesignator=RJ2_Conn2
Change Component Designator: OldDesignator=RJ2_Conn1_2 NewDesignator=RJ2_Conn3
Change Component Designator: OldDesignator=RJ2_Conn1_3 NewDesignator=RJ2_Conn4
Change Component Designator: OldDesignator=RJ2_Conn1_4 NewDesignator=RJ2_Conn5
Change Component Designator: OldDesignator=RJ2_Conn1_5 NewDesignator=RJ2_Conn6
Change Component Designator: OldDesignator=RJ2_Conn1_6 NewDesignator=RJ2_Conn7
Change Component Designator: OldDesignator=RJ2_Conn1_7 NewDesignator=RJ2_Conn8
Added Pin To Net: NetName=+5VB_Conn2 Pin=DB1_Conn2-1
Added Pin To Net: NetName=+5VB_Conn2 Pin=DB1_Conn2-2
Added Pin To Net: NetName=-5VB_Conn2 Pin=DB1_Conn2-4
Added Pin To Net: NetName=-5VB_Conn2 Pin=DB1_Conn2-5
Added Pin To Net: NetName=+5VGNDB_Conn2 Pin=DB1_Conn2-6
Added Pin To Net: NetName=+5VGNDB_Conn2 Pin=DB1_Conn2-7
Added Pin To Net: NetName=-5VGNDB_Conn2 Pin=DB1_Conn2-8
Added Pin To Net: NetName=-5VGNDB_Conn2 Pin=DB1_Conn2-9
Added Pin To Net: NetName=+5VB_Conn3 Pin=DB1_Conn3-1
Added Pin To Net: NetName=+5VB_Conn3 Pin=DB1_Conn3-2
Added Pin To Net: NetName=-5VB_Conn3 Pin=DB1_Conn3-4
Added Pin To Net: NetName=-5VB_Conn3 Pin=DB1_Conn3-5
Added Pin To Net: NetName=+5VGNDB_Conn3 Pin=DB1_Conn3-6
Added Pin To Net: NetName=+5VGNDB_Conn3 Pin=DB1_Conn3-7
Added Pin To Net: NetName=-5VGNDB_Conn3 Pin=DB1_Conn3-8
Added Pin To Net: NetName=-5VGNDB_Conn3 Pin=DB1_Conn3-9
Added Pin To Net: NetName=+5VB_Conn4 Pin=DB1_Conn4-1
Added Pin To Net: NetName=+5VB_Conn4 Pin=DB1_Conn4-2
Added Pin To Net: NetName=-5VB_Conn4 Pin=DB1_Conn4-4
Added Pin To Net: NetName=-5VB_Conn4 Pin=DB1_Conn4-5
Added Pin To Net: NetName=+5VGNDB_Conn4 Pin=DB1_Conn4-6
Added Pin To Net: NetName=+5VGNDB_Conn4 Pin=DB1_Conn4-7
Added Pin To Net: NetName=-5VGNDB_Conn4 Pin=DB1_Conn4-8
Added Pin To Net: NetName=-5VGNDB_Conn4 Pin=DB1_Conn4-9
Added Pin To Net: NetName=+5VB_Conn5 Pin=DB1_Conn5-1
Added Pin To Net: NetName=+5VB_Conn5 Pin=DB1_Conn5-2
Added Pin To Net: NetName=-5VB_Conn5 Pin=DB1_Conn5-4
Added Pin To Net: NetName=-5VB_Conn5 Pin=DB1_Conn5-5
Added Pin To Net: NetName=+5VGNDB_Conn5 Pin=DB1_Conn5-6
Added Pin To Net: NetName=+5VGNDB_Conn5 Pin=DB1_Conn5-7
Added Pin To Net: NetName=-5VGNDB_Conn5 Pin=DB1_Conn5-8
Added Pin To Net: NetName=-5VGNDB_Conn5 Pin=DB1_Conn5-9
Added Pin To Net: NetName=+5VB_Conn6 Pin=DB1_Conn6-1
Added Pin To Net: NetName=+5VB_Conn6 Pin=DB1_Conn6-2
Added Pin To Net: NetName=-5VB_Conn6 Pin=DB1_Conn6-4
Added Pin To Net: NetName=-5VB_Conn6 Pin=DB1_Conn6-5
Added Pin To Net: NetName=+5VGNDB_Conn6 Pin=DB1_Conn6-6
