Change Component Designator: OldDesignator=DB1 NewDesignator=DB2_U_Connectors2
Change Component Designator: OldDesignator=DB2 NewDesignator=DB1_U_Connectors2
Change Component Designator: OldDesignator=DB3 NewDesignator=DB2_U_Connectors1
Change Component Designator: OldDesignator=DB4 NewDesignator=DB1_U_Connectors1
Change Component Designator: OldDesignator=J2 NewDesignator=J1_U_Connectors1
Change Component Designator: OldDesignator=J3 NewDesignator=J1_U_Connectors2
Change Component Designator: OldDesignator=RJ1 NewDesignator=RJ2_U_Connectors2
Change Component Designator: OldDesignator=RJ2 NewDesignator=RJ1_U_Connectors2
Change Component Designator: OldDesignator=RJ3 NewDesignator=RJ2_U_Connectors1
Change Component Designator: OldDesignator=RJ4 NewDesignator=RJ1_U_Connectors1
Added Pin To Net: NetName=NetDB1_U_Connectors2_1 Pin=DB1_U_Connectors2-1
Added Pin To Net: NetName=NetDB1_U_Connectors2_1 Pin=DB1_U_Connectors2-2
Added Pin To Net: NetName=NetDB1_U_Connectors2_4 Pin=DB1_U_Connectors2-4
Added Pin To Net: NetName=NetDB1_U_Connectors2_4 Pin=DB1_U_Connectors2-5
Added Pin To Net: NetName=NetDB1_U_Connectors2_6 Pin=DB1_U_Connectors2-6
Added Pin To Net: NetName=NetDB1_U_Connectors2_6 Pin=DB1_U_Connectors2-7
Added Pin To Net: NetName=NetDB1_U_Connectors2_8 Pin=DB1_U_Connectors2-8
Added Pin To Net: NetName=NetDB1_U_Connectors2_8 Pin=DB1_U_Connectors2-9
Added Pin To Net: NetName=NetDB2_U_Connectors2_1 Pin=DB2_U_Connectors2-1
Added Pin To Net: NetName=NetDB2_U_Connectors2_1 Pin=DB2_U_Connectors2-2
Added Pin To Net: NetName=NetDB2_U_Connectors2_4 Pin=DB2_U_Connectors2-4
Added Pin To Net: NetName=NetDB2_U_Connectors2_4 Pin=DB2_U_Connectors2-5
Added Pin To Net: NetName=NetDB2_U_Connectors2_6 Pin=DB2_U_Connectors2-6
