Change Component Footprint: Designator=ICSP Old Footprint=2X03 New Footprint=2X05
Added Component: Designator=D5V(SMB-403A)
Added Component: Designator=J1(09 03 164 6919)
Added Pin To Net: NetName=+5V Pin=D5V-1
Added Pin To Net: NetName=NetD5V_2 Pin=D5V-2
Added Pin To Net: NetName=PB1 Pin=ICSP-7
Added Pin To Net: NetName=GND Pin=ICSP-8
Added Pin To Net: NetName=PB3 Pin=ICSP-9
Added Pin To Net: NetName=GND Pin=ICSP-10
Added Pin To Net: NetName=48V Pin=J1-0
Added Pin To Net: NetName=48V Pin=J1-0
Added Pin To Net: NetName=48V Pin=J1-0
Added Pin To Net: NetName=48V Pin=J1-1
Added Pin To Net: NetName=+5VRAW Pin=J1-2
Added Pin To Net: NetName=GND Pin=J1-3
Added Pin To Net: NetName=SCLNET Pin=J1-4
Added Pin To Net: NetName=SDANET Pin=J1-5
Added Pin To Net: NetName=GND Pin=J1-6
Added Pin To Net: NetName=GND Pin=J1-7
Added Pin To Net: NetName=GND Pin=J1-8
Added Pin To Net: NetName=GND Pin=J1-9
Added Pin To Net: NetName=GND Pin=J1-10
Added Pin To Net: NetName=GND Pin=J1-11
Added Pin To Net: NetName=GND Pin=J1-12
Added Pin To Net: NetName=GND Pin=J1-13
Added Pin To Net: NetName=GND Pin=J1-14
Added Pin To Net: NetName=GND Pin=J1-15
Added Pin To Net: NetName=GND Pin=J1-16
Added Pin To Net: NetName=GND Pin=J1-17
Added Pin To Net: NetName=GND Pin=J1-18
Added Pin To Net: NetName=GND Pin=J1-19
Added Pin To Net: NetName=GND Pin=J1-20
Added Pin To Net: NetName=GND Pin=J1-21
Added Pin To Net: NetName=GND Pin=J1-22
Added Pin To Net: NetName=GND Pin=J1-23
Added Pin To Net: NetName=GND Pin=J1-24
Added Pin To Net: NetName=GND Pin=J1-25
Added Pin To Net: NetName=GND Pin=J1-26
Added Pin To Net: NetName=GND Pin=J1-27
Added Pin To Net: NetName=GND Pin=J1-28
Added Pin To Net: NetName=GND Pin=J1-29
Added Pin To Net: NetName=GND Pin=J1-30
Added Pin To Net: NetName=GND Pin=J1-31
Added Pin To Net: NetName=48V Pin=J1-32
Added Pin To Net: NetName=48V Pin=J1-33
Added Pin To Net: NetName=+5VRAW Pin=J1-34
Added Pin To Net: NetName=GND Pin=J1-35
Added Pin To Net: NetName=SCLNET Pin=J1-36
Added Pin To Net: NetName=SDANET Pin=J1-37
Added Pin To Net: NetName=GND Pin=J1-38
Added Pin To Net: NetName=GND Pin=J1-43
Added Pin To Net: NetName=GND Pin=J1-44
Added Pin To Net: NetName=GND Pin=J1-45
Added Pin To Net: NetName=GND Pin=J1-46
Added Pin To Net: NetName=GND Pin=J1-47
Added Pin To Net: NetName=GND Pin=J1-48
Added Pin To Net: NetName=GND Pin=J1-49
Added Pin To Net: NetName=GND Pin=J1-50
Added Pin To Net: NetName=GND Pin=J1-51
Added Pin To Net: NetName=GND Pin=J1-52
Added Pin To Net: NetName=GND Pin=J1-53
Added Pin To Net: NetName=GND Pin=J1-54
Added Pin To Net: NetName=GND Pin=J1-55
Added Pin To Net: NetName=GND Pin=J1-56
Added Pin To Net: NetName=GND Pin=J1-57
Added Pin To Net: NetName=GND Pin=J1-58
Added Pin To Net: NetName=GND Pin=J1-59
Added Pin To Net: NetName=GND Pin=J1-60
Added Pin To Net: NetName=GND Pin=J1-61
Added Pin To Net: NetName=GND Pin=J1-62
Added Pin To Net: NetName=GND Pin=J1-63
Added Member To Class: ClassName=Eurocard VME 3U (3.937 x 8.660 inches) Member=Component D5V MBRS130LT3G
Added Member To Class: ClassName=Eurocard VME 3U (3.937 x 8.660 inches) Member=Component J1 DIN41612_64WAY
