Change Component Designator: OldDesignator=C8_LV1_1 NewDesignator=C8_LV3
Change Component Designator: OldDesignator=C8_LV1_2 NewDesignator=C8_LV4
Change Component Designator: OldDesignator=C9_LV1_1 NewDesignator=C9_LV3
Change Component Designator: OldDesignator=C9_LV1_2 NewDesignator=C9_LV4
Change Component Designator: OldDesignator=C10_LV1_1 NewDesignator=C10_LV3
Change Component Designator: OldDesignator=C10_LV1_2 NewDesignator=C10_LV4
Change Component Designator: OldDesignator=C11_LV1_1 NewDesignator=C11_LV3
Change Component Designator: OldDesignator=C11_LV1_2 NewDesignator=C11_LV4
Change Component Designator: OldDesignator=C12_LV1_1 NewDesignator=C12_LV3
Change Component Designator: OldDesignator=C12_LV1_2 NewDesignator=C12_LV4
Change Component Designator: OldDesignator=C13_LV1_1 NewDesignator=C13_LV3
Change Component Designator: OldDesignator=C13_LV1_2 NewDesignator=C13_LV4
Change Component Designator: OldDesignator=C30_LV1_1 NewDesignator=C30_LV3
Change Component Designator: OldDesignator=C30_LV1_2 NewDesignator=C30_LV4
Change Component Designator: OldDesignator=D6_LV1_1 NewDesignator=D6_LV3
Change Component Designator: OldDesignator=D6_LV1_2 NewDesignator=D6_LV4
Change Component Designator: OldDesignator=D7_LV1_1 NewDesignator=D7_LV3
Change Component Designator: OldDesignator=D7_LV1_2 NewDesignator=D7_LV4
Change Component Designator: OldDesignator=D8_LV1_1 NewDesignator=D8_LV3
Change Component Designator: OldDesignator=D8_LV1_2 NewDesignator=D8_LV4
Change Component Designator: OldDesignator=D10_LV1_1 NewDesignator=D10_LV3
Change Component Designator: OldDesignator=D10_LV1_2 NewDesignator=D10_LV4
Change Component Designator: OldDesignator=DTVS1_LV1_1 NewDesignator=DTVS1_LV3
Change Component Designator: OldDesignator=DTVS1_LV1_2 NewDesignator=DTVS1_LV4
Change Component Designator: OldDesignator=F2_LV1_1 NewDesignator=F2_LV3
Change Component Designator: OldDesignator=F2_LV1_2 NewDesignator=F2_LV4
Change Component Designator: OldDesignator=LT2_LV1_1 NewDesignator=LT2_LV3
Change Component Designator: OldDesignator=LT2_LV1_2 NewDesignator=LT2_LV4
Change Component Designator: OldDesignator=Q2_LV1_1 NewDesignator=Q2_LV3
Change Component Designator: OldDesignator=Q2_LV1_2 NewDesignator=Q2_LV4
Change Component Designator: OldDesignator=R5_LV1_1 NewDesignator=R5_LV3
Change Component Designator: OldDesignator=R5_LV1_2 NewDesignator=R5_LV4
Change Component Designator: OldDesignator=R6_LV1_1 NewDesignator=R6_LV3
Change Component Designator: OldDesignator=R6_LV1_2 NewDesignator=R6_LV4
Change Component Designator: OldDesignator=R7_LV1_1 NewDesignator=R7_LV3
Change Component Designator: OldDesignator=R7_LV1_2 NewDesignator=R7_LV4
Change Component Designator: OldDesignator=R8_LV1_1 NewDesignator=R8_LV3
Change Component Designator: OldDesignator=R8_LV1_2 NewDesignator=R8_LV4
Change Component Designator: OldDesignator=Rfb2_LV1_1 NewDesignator=Rfb2_LV3
Change Component Designator: OldDesignator=Rfb2_LV1_2 NewDesignator=Rfb2_LV4
Change Component Designator: OldDesignator=Rref2_LV1_1 NewDesignator=Rref2_LV3
Change Component Designator: OldDesignator=Rref2_LV1_2 NewDesignator=Rref2_LV4
Change Component Designator: OldDesignator=Rsense2_LV1_1 NewDesignator=Rsense2_LV3
Change Component Designator: OldDesignator=Rsense2_LV1_2 NewDesignator=Rsense2_LV4
Change Component Designator: OldDesignator=Rtc2_LV1_1 NewDesignator=Rtc2_LV3
Change Component Designator: OldDesignator=Rtc2_LV1_2 NewDesignator=Rtc2_LV4
Change Component Designator: OldDesignator=T2_LV1_1 NewDesignator=T2_LV3
Change Component Designator: OldDesignator=T2_LV1_2 NewDesignator=T2_LV4
Change Component Designator: OldDesignator=U2_LV1_1 NewDesignator=U2_LV3
Change Component Designator: OldDesignator=U2_LV1_2 NewDesignator=U2_LV4
Added Pin To Net: NetName=GND Pin=C8_LV3-1
Added Pin To Net: NetName=+5V Pin=C8_LV3-2
Added Pin To Net: NetName=GND Pin=C8_LV4-1
Added Pin To Net: NetName=+5V Pin=C8_LV4-2
Added Pin To Net: NetName=GNDOUT_LV3 Pin=C9_LV3-1
Added Pin To Net: NetName=NetC9_LV3_2 Pin=C9_LV3-2
Added Pin To Net: NetName=GNDOUT_LV4 Pin=C9_LV4-1
Added Pin To Net: NetName=NetC9_LV4_2 Pin=C9_LV4-2
Added Pin To Net: NetName=GNDOUT_LV3 Pin=C10_LV3-1
Added Pin To Net: NetName=NetC9_LV3_2 Pin=C10_LV3-2
Added Pin To Net: NetName=GNDOUT_LV4 Pin=C10_LV4-1
Added Pin To Net: NetName=NetC9_LV4_2 Pin=C10_LV4-2
Added Pin To Net: NetName=GND Pin=C11_LV3-1
Added Pin To Net: NetName=NetC11_LV3_2 Pin=C11_LV3-2
Added Pin To Net: NetName=GND Pin=C11_LV4-1
Added Pin To Net: NetName=NetC11_LV4_2 Pin=C11_LV4-2
Added Pin To Net: NetName=NetC12_LV3_1 Pin=C12_LV3-1
Added Pin To Net: NetName=GND Pin=C12_LV3-2
Added Pin To Net: NetName=NetC12_LV4_1 Pin=C12_LV4-1
Added Pin To Net: NetName=GND Pin=C12_LV4-2
Added Pin To Net: NetName=NetC13_LV3_1 Pin=C13_LV3-1
Added Pin To Net: NetName=NetC11_LV3_2 Pin=C13_LV3-2
Added Pin To Net: NetName=NetC13_LV4_1 Pin=C13_LV4-1
Added Pin To Net: NetName=NetC11_LV4_2 Pin=C13_LV4-2
Added Pin To Net: NetName=GND Pin=C30_LV3-1
Added Pin To Net: NetName=GNDOUT_LV3 Pin=C30_LV3-2
Added Pin To Net: NetName=GND Pin=C30_LV4-1
Added Pin To Net: NetName=GNDOUT_LV4 Pin=C30_LV4-2
Added Pin To Net: NetName=NetC9_LV3_2 Pin=D6_LV3-1
Added Pin To Net: NetName=GNDOUT_LV3 Pin=D6_LV3-2
Added Pin To Net: NetName=NetC9_LV4_2 Pin=D6_LV4-1
Added Pin To Net: NetName=GNDOUT_LV4 Pin=D6_LV4-2
Added Pin To Net: NetName=NetD7_LV3_1 Pin=D7_LV3-1
Added Pin To Net: NetName=NetD7_LV3_1 Pin=D7_LV3-1
Added Pin To Net: NetName=NetC9_LV3_2 Pin=D7_LV3-2
Added Pin To Net: NetName=NetD7_LV4_1 Pin=D7_LV4-1
Added Pin To Net: NetName=NetD7_LV4_1 Pin=D7_LV4-1
Added Pin To Net: NetName=NetC9_LV4_2 Pin=D7_LV4-2
Added Pin To Net: NetName=NetC11_LV3_2 Pin=D8_LV3-1
Added Pin To Net: NetName=NetD8_LV3_2 Pin=D8_LV3-2
Added Pin To Net: NetName=NetC11_LV4_2 Pin=D8_LV4-1
Added Pin To Net: NetName=NetD8_LV4_2 Pin=D8_LV4-2
Added Pin To Net: NetName=NetD8_LV3_2 Pin=D10_LV3-1
Added Pin To Net: NetName=SW_LV3 Pin=D10_LV3-2
Added Pin To Net: NetName=NetD8_LV4_2 Pin=D10_LV4-1
Added Pin To Net: NetName=SW_LV4 Pin=D10_LV4-2
Added Pin To Net: NetName=NetC11_LV3_2 Pin=DTVS1_LV3-1
Added Pin To Net: NetName=GND Pin=DTVS1_LV3-2
Added Pin To Net: NetName=NetC11_LV4_2 Pin=DTVS1_LV4-1
Added Pin To Net: NetName=GND Pin=DTVS1_LV4-2
Added Pin To Net: NetName=NetF2_LV3_1 Pin=F2_LV3-1
Added Pin To Net: NetName=NetC11_LV3_2 Pin=F2_LV3-2
Added Pin To Net: NetName=NetF2_LV4_1 Pin=F2_LV4-1
Added Pin To Net: NetName=NetC11_LV4_2 Pin=F2_LV4-2
Added Pin To Net: NetName=NetLT2_LV3_1 Pin=LT2_LV3-1
