Added Component: Designator=J1(09 03 164 6919)
Added Pin To Net: NetName=24V Pin=J1-0
Added Pin To Net: NetName=+5VRAW Pin=J1-1
Added Pin To Net: NetName=GND Pin=J1-2
Added Pin To Net: NetName=SCL Pin=J1-3
Added Pin To Net: NetName=SDA Pin=J1-4
Added Pin To Net: NetName=GND Pin=J1-5
Added Pin To Net: NetName=GND Pin=J1-6
Added Pin To Net: NetName=GND Pin=J1-7
Added Pin To Net: NetName=ADRS3 Pin=J1-8
Added Pin To Net: NetName=ADRS2 Pin=J1-9
Added Pin To Net: NetName=ADRS1 Pin=J1-10
Added Pin To Net: NetName=ADRS0 Pin=J1-11
Added Pin To Net: NetName=GND Pin=J1-12
Added Pin To Net: NetName=GND Pin=J1-14
Added Pin To Net: NetName=GND Pin=J1-15
Added Pin To Net: NetName=GND Pin=J1-16
Added Pin To Net: NetName=GND Pin=J1-17
Added Pin To Net: NetName=GND Pin=J1-18
Added Pin To Net: NetName=GND Pin=J1-19
Added Pin To Net: NetName=-5VGNDB Pin=J1-20
Added Pin To Net: NetName=-5VGNDB Pin=J1-21
Added Pin To Net: NetName=-5VGNDB Pin=J1-22
Added Pin To Net: NetName=NetC13_1 Pin=J1-23
Added Pin To Net: NetName=NetC13_1 Pin=J1-24
Added Pin To Net: NetName=NetC13_1 Pin=J1-25
Added Pin To Net: NetName=NetC17_2 Pin=J1-26
Added Pin To Net: NetName=NetC17_2 Pin=J1-27
Added Pin To Net: NetName=NetC17_2 Pin=J1-28
Added Pin To Net: NetName=+5VGNDB Pin=J1-29
Added Pin To Net: NetName=+5VGNDB Pin=J1-30
Added Pin To Net: NetName=+5VGNDB Pin=J1-31
Added Pin To Net: NetName=24V Pin=J1-32
Added Pin To Net: NetName=+5VRAW Pin=J1-33
Added Pin To Net: NetName=GND Pin=J1-34
Added Pin To Net: NetName=SCL Pin=J1-35
Added Pin To Net: NetName=SDA Pin=J1-36
Added Pin To Net: NetName=GND Pin=J1-37
Added Pin To Net: NetName=GND Pin=J1-38
Added Pin To Net: NetName=GND Pin=J1-39
Added Pin To Net: NetName=NetJ1_40 Pin=J1-40
Added Pin To Net: NetName=NetJ1_41 Pin=J1-41
Added Pin To Net: NetName=NetJ1_42 Pin=J1-42
Added Pin To Net: NetName=NetJ1_43 Pin=J1-43
Added Pin To Net: NetName=NetJ1_44 Pin=J1-44
Added Pin To Net: NetName=NetJ1_45 Pin=J1-45
Added Pin To Net: NetName=NetJ1_46 Pin=J1-46
Added Pin To Net: NetName=NetJ1_47 Pin=J1-47
Added Pin To Net: NetName=GND Pin=J1-48
Added Pin To Net: NetName=GND Pin=J1-49
Added Pin To Net: NetName=GND Pin=J1-50
Added Pin To Net: NetName=GND Pin=J1-51
Added Pin To Net: NetName=NetC5_2 Pin=J1-52
Added Pin To Net: NetName=NetC5_2 Pin=J1-53
Added Pin To Net: NetName=NetC5_2 Pin=J1-54
Added Pin To Net: NetName=+5VGNDA Pin=J1-55
Added Pin To Net: NetName=+5VGNDA Pin=J1-56
Added Pin To Net: NetName=+5VGNDA Pin=J1-57
Added Pin To Net: NetName=-5VGNDA Pin=J1-58
Added Pin To Net: NetName=-5VGNDA Pin=J1-59
Added Pin To Net: NetName=-5VGNDA Pin=J1-60
Added Pin To Net: NetName=NetC9_1 Pin=J1-61
Added Pin To Net: NetName=NetC9_1 Pin=J1-62
Added Pin To Net: NetName=NetC9_1 Pin=J1-63
Added Member To Class: ClassName=Top Member=Component J1 DIN41612_64WAY
